feature,de-Klaper,de-Klaper,de-Klaper,it-PaCCSS,it-PaCCSS,it-PaCCSS
get_ratio_clauses,0.13$\pm$0.12,0.11$\pm$0.11,*,0.02$\pm$0.05,0.02$\pm$0.05,
get_ratio_mwes,0.03$\pm$0.1,0.03$\pm$0.1,,0.01$\pm$0.03,0.01$\pm$0.03,
get_ratio_named_entities,0.14$\pm$0.25,0.15$\pm$0.24,,0.02$\pm$0.08,0.02$\pm$0.06,
get_ratio_of_adjectives,0.07$\pm$0.1,0.05$\pm$0.09,**,0.05$\pm$0.07,0.07$\pm$0.08,*
get_ratio_of_adpositions,0.09$\pm$0.09,0.08$\pm$0.09,*,0.04$\pm$0.06,0.04$\pm$0.06,
get_ratio_of_adverbs,0.04$\pm$0.07,0.05$\pm$0.09,*,0.12$\pm$0.11,0.1$\pm$0.11,*
get_ratio_of_auxiliary_verbs,0.02$\pm$0.04,0.02$\pm$0.05,,0.02$\pm$0.05,0.03$\pm$0.06,*
get_ratio_of_conjunctions,0.04$\pm$0.06,0.03$\pm$0.05,**,0.04$\pm$0.07,0.04$\pm$0.07,
get_ratio_of_coordinating_clauses,0.0$\pm$0.02,0.0$\pm$0.02,,0.0$\pm$0.02,0.0$\pm$0.02,
get_ratio_of_determiners,0.08$\pm$0.09,0.08$\pm$0.09,,0.12$\pm$0.07,0.14$\pm$0.09,***
get_ratio_of_function_words,0.03$\pm$0.05,0.04$\pm$0.06,*,0.13$\pm$0.08,0.14$\pm$0.09,**
get_ratio_of_interjections,0.0$\pm$0.0,0.0$\pm$0.0,,0.0$\pm$0.01,0.0$\pm$0.01,
get_ratio_of_nouns,0.41$\pm$0.21,0.41$\pm$0.21,,0.23$\pm$0.1,0.23$\pm$0.1,
get_ratio_of_numerals,0.06$\pm$0.17,0.06$\pm$0.16,*,0.02$\pm$0.05,0.02$\pm$0.05,*
get_ratio_of_particles,0.0$\pm$0.02,0.0$\pm$0.02,,0.0$\pm$0.0,0.0$\pm$0.0,
get_ratio_of_pronouns,0.05$\pm$0.08,0.08$\pm$0.1,**,0.06$\pm$0.08,0.04$\pm$0.07,**
get_ratio_of_punctuation,0.12$\pm$0.11,0.13$\pm$0.11,**,0.23$\pm$0.09,0.17$\pm$0.06,***
get_ratio_of_subordinate_clauses,0.0$\pm$0.01,0.0$\pm$0.02,,0.01$\pm$0.04,0.02$\pm$0.05,
get_ratio_of_symbols,0.0$\pm$0.0,0.0$\pm$0.0,,0.0$\pm$0.0,0.0$\pm$0.01,
get_ratio_of_verbs,0.07$\pm$0.08,0.1$\pm$0.1,**,0.13$\pm$0.05,0.15$\pm$0.05,***
get_ratio_prepositional_phrases,0.03$\pm$0.06,0.02$\pm$0.06,*,0.03$\pm$0.05,0.03$\pm$0.06,
get_ratio_referential,0.0$\pm$0.0,0.0$\pm$0.0,,0.01$\pm$0.03,0.0$\pm$0.02,
get_ratio_relative_phrases,0.0$\pm$0.01,0.0$\pm$0.01,*,0.01$\pm$0.03,0.01$\pm$0.03,
get_type_token_ratio,0.94$\pm$0.08,0.91$\pm$0.13,**,0.97$\pm$0.06,0.99$\pm$0.04,**
is_non_projective,0.11$\pm$0.31,0.07$\pm$0.25,,0.0$\pm$0.01,0.0$\pm$0.0,
max_pos_in_freq_table,10.28$\pm$1.01,9.9$\pm$1.23,**,8.61$\pm$1.57,8.44$\pm$1.57,*
sentence_fkgl,18.51$\pm$11.23,16.84$\pm$13.22,**,13.75$\pm$5.24,11.86$\pm$4.78,***
sentence_fre,-17.73$\pm$81.07,-6.71$\pm$96.21,**,9.23$\pm$36.23,22.19$\pm$32.55,***
N,,1888,,,63012,
